Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0, 0.00709754, 341.728, 11720, 341.728, 0.0368361, 0.120723
0.005, 0.00725271, 87.3861, 2994.07, 87.3861, 0.0285668, 0.0874076
0.01, 0.00741434, 39.6115, 1360.36, 39.6115, 0.0287543, 0.0833663
0.015, 0.00754318, 22.6803, 778.509, 22.6803, 0.0306114, 0.0816316
0.02, 0.00765848, 14.7304, 505.868, 14.7304, 0.0297082, 0.0881672
0.025, 0.00776408, 10.3761, 356.146, 10.3761, 0.0287199, 0.0864724
0.03, 0.00786241, 7.72365, 264.976, 7.72365, 0.0304275, 0.0995215
0.035, 0.00795468, 5.98464, 205.258, 5.98464, 0.0291867, 0.0912006
0.04, 0.00804175, 4.77999, 163.957, 4.77999, 0.0293171, 0.0881787
0.045, 0.00812481, 3.91343, 134.18, 3.91343, 0.0293631, 0.0930345
0.05, 0.00820441, 3.26728, 111.982, 3.26728, 0.0292645, 0.0920631
0.055, 0.008281, 2.77215, 94.9776, 2.77215, 0.0289097, 0.0931214
0.06, 0.00835496, 2.3842, 81.6531, 2.3842, 0.0293256, 0.105671
0.065, 0.00842662, 2.07378, 71.0113, 2.07378, 0.0306203, 0.0967672
0.07, 0.00849619, 1.82226, 62.3717, 1.82226, 0.0312286, 0.0957305
0.075, 0.0085639, 1.61491, 55.2579, 1.61491, 0.0305197, 0.0927833
0.08, 0.00862994, 1.44196, 49.3278, 1.44196, 0.0305251, 0.0939451
0.085, 0.00869442, 1.2963, 44.3299, 1.2963, 0.0300946, 0.0903764
0.09, 0.00875748, 1.17231, 40.0769, 1.17231, 0.030804, 0.0906992
0.095, 0.0088192, 1.06586, 36.4261, 1.06586, 0.0307837, 0.0866082
0.1, 0.0088798, 0.973691, 33.2684, 0.973691, 0.0333306, 0.0901895
0.105, 0.00893917, 0.89308, 30.517, 0.89308, 0.0309847, 0.0806598
0.11, 0.00899761, 0.822691, 28.1052, 0.822691, 0.0311552, 0.0816737
0.115, 0.00905507, 0.760645, 25.9783, 0.760645, 0.0289057, 0.0769836
0.12, 0.0091116, 0.705632, 24.0926, 0.705632, 0.0305537, 0.086344
0.125, 0.00916727, 0.656601, 22.4125, 0.656601, 0.02875, 0.0858451
0.13, 0.00922213, 0.612708, 20.9089, 0.612708, 0.0303436, 0.0790808
0.135, 0.00927622, 0.573251, 19.5575, 0.573251, 0.0317027, 0.0775511
0.14, 0.00932958, 0.537646, 18.3382, 0.537646, 0.0304259, 0.0723091
0.145, 0.00938224, 0.505397, 17.234, 0.505397, 0.0295606, 0.0776344
0.15, 0.00943424, 0.476093, 16.2308, 0.476093, 0.0299773, 0.0754662
0.155, 0.00948562, 0.449384, 15.3164, 0.449384, 0.0302864, 0.0860727
0.16, 0.00953641, 0.424926, 14.4806, 0.424926, 0.0290375, 0.0828666
0.165, 0.00958663, 0.402516, 13.7143, 0.402516, 0.0313169, 0.0765541
0.17, 0.00963627, 0.382008, 13.01, 0.382008, 0.032338, 0.0995115
0.175, 0.00968533, 0.36336, 12.361, 0.36336, 0.0316026, 0.0928531
0.18, 0.00973395, 0.345781, 11.7617, 0.345781, 0.0322725, 0.0869945
0.185, 0.00978209, 0.329603, 11.207, 0.329603, 0.0315333, 0.096475
0.19, 0.00982976, 0.314553, 10.6926, 0.314553, 0.0302254, 0.0924905
0.195, 0.00987698, 0.300621, 10.2145, 0.300621, 0.0314928, 0.0907363
0.2, 0.0099238, 0.287526, 9.76942, 0.287526, 0.0324395, 0.0939474
0.205, 0.00997018, 0.275443, 9.35426, 0.275443, 0.0337178, 0.0891484
0.21, 0.0100162, 0.264067, 8.96637, 0.264067, 0.0310773, 0.0862467
0.215, 0.0100618, 0.253468, 8.60339, 0.253468, 0.0318934, 0.0941759
0.22, 0.010107, 0.243478, 8.26318, 0.243478, 0.0297908, 0.0982308
0.225, 0.0101518, 0.234142, 7.94384, 0.234142, 0.0345925, 0.0871811
0.23, 0.0101963, 0.225342, 7.64368, 0.225342, 0.0320446, 0.094962
0.235, 0.0102406, 0.217012, 7.36118, 0.217012, 0.0317092, 0.0838469
0.24, 0.0102845, 0.209236, 7.09499, 0.209236, 0.032069, 0.0756519
0.245, 0.0103278, 0.201711, 6.8436, 0.201711, 0.0318485, 0.0898159
0.25, 0.0103713, 0.195011, 6.6064, 0.195011, 0.0321929, 0.0984504
0.255, 0.010414, 0.188307, 6.38174, 0.188307, 0.0303096, 0.0899099
0.26, 0.0104664, 0.18198, 6.17495, 0.18198, 0.0324492, 0.126206
0.265, 0.010489, 0.177067, 5.96207, 0.177067, 0.0314768, 0.102772
0.27, 0.0105402, 0.170786, 5.77608, 0.170786, 0.0335153, 0.0882502
0.275, 0.0105808, 0.165413, 5.59391, 0.165413, 0.033426, 0.105581
0.28, 0.0106262, 0.16054, 5.42326, 0.16054, 0.0313862, 0.084142
0.285, 0.010675, 0.155706, 5.2627, 0.155706, 0.031024, 0.1086
0.29, 0.0106962, 0.151674, 5.09672, 0.151674, 0.0318429, 0.0977483
0.295, 0.010746, 0.145813, 4.95194, 0.145813, 0.0316615, 0.0934916
0.3, 0.0107918, 0.142578, 4.81209, 0.142578, 0.0331489, 0.124862
0.305, 0.010824, 0.138422, 4.67275, 0.138422, 0.0305199, 0.0935118
0.31, 0.0108676, 0.134468, 4.54455, 0.134468, 0.0294248, 0.07687
0.315, 0.0109077, 0.130907, 4.42058, 0.130907, 0.0305683, 0.0996444
0.32, 0.0109435, 0.127402, 4.30042, 0.127402, 0.0329555, 0.107526
0.325, 0.0109896, 0.124417, 4.18934, 0.124417, 0.0318124, 0.0843017
0.33, 0.0110237, 0.121144, 4.07853, 0.121144, 0.0307509, 0.124067
0.335, 0.0110681, 0.117859, 3.97611, 0.117859, 0.0325679, 0.117243
0.34, 0.011099, 0.114801, 3.87315, 0.114801, 0.0300798, 0.0811077
0.345, 0.0111444, 0.112386, 3.77935, 0.112386, 0.0294545, 0.119899
0.35, 0.0111777, 0.109349, 3.68528, 0.109349, 0.0306777, 0.0957491
0.355, 0.0112181, 0.107203, 3.59725, 0.107203, 0.0290969, 0.11608
0.36, 0.0112564, 0.104185, 3.51198, 0.104185, 0.0333768, 0.0881317
0.365, 0.0112926, 0.102037, 3.42932, 0.102037, 0.0283745, 0.121654
0.37, 0.0113335, 0.0994747, 3.35122, 0.0994747, 0.0297172, 0.12847
0.375, 0.0113668, 0.0974167, 3.27383, 0.0974167, 0.0330969, 0.108808
0.38, 0.0114113, 0.0951738, 3.20248, 0.0951738, 0.0322295, 0.103748
0.385, 0.0114396, 0.0930316, 3.12925, 0.0930316, 0.0327226, 0.107808
0.39, 0.0114747, 0.0912118, 3.0605, 0.0912118, 0.0306895, 0.0885801
0.395, 0.011517, 0.0893119, 2.99609, 0.0893119, 0.0316101, 0.12431
0.4, 0.0115498, 0.087317, 2.93151, 0.087317, 0.0318623, 0.107587
