Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0, 0.00142024, 0.00674613, 0.226038, 0.00674613, 0.0521304, 0.185082, 6
0.005, 0.00145057, 0.00659072, 0.230865, 0.00659072, 0.0437287, 0.159531, 4
0.01, 0.00148299, 0.00688648, 0.236025, 0.00688648, 0.0461092, 0.0949049, 3
0.015, 0.00150889, 0.00699166, 0.240148, 0.00699166, 0.0483029, 0.142372, 4
0.02, 0.00153184, 0.0071, 0.243801, 0.0071, 0.0458331, 0.0871315, 3
0.025, 0.00155314, 0.00720089, 0.24719, 0.00720089, 0.0480403, 0.09018, 3
0.03, 0.00157275, 0.00729305, 0.250311, 0.00729305, 0.0460199, 0.0835347, 3
0.035, 0.00159115, 0.0073796, 0.25324, 0.0073796, 0.0446628, 0.0852485, 3
0.04, 0.00160859, 0.00746171, 0.256015, 0.00746171, 0.04485, 0.0905168, 3
0.045, 0.00162521, 0.00754008, 0.25866, 0.00754008, 0.0448237, 0.097632, 3
0.05, 0.00164114, 0.00761507, 0.261195, 0.00761507, 0.0491643, 0.0884788, 3
0.055, 0.00165646, 0.00768727, 0.263634, 0.00768727, 0.0462224, 0.0826237, 3
0.06, 0.00167127, 0.00775829, 0.26599, 0.00775829, 0.054631, 0.0934043, 3
0.065, 0.00168561, 0.00782429, 0.268273, 0.00782429, 0.0461514, 0.0897345, 3
0.07, 0.00169953, 0.00788986, 0.270489, 0.00788986, 0.0460226, 0.0856117, 3
0.075, 0.00171309, 0.00795042, 0.272646, 0.00795042, 0.046171, 0.0907646, 3
0.08, 0.0017263, 0.00801269, 0.27475, 0.00801269, 0.0461398, 0.0876977, 3
0.085, 0.00173921, 0.00807355, 0.276804, 0.00807355, 0.0505844, 0.105362, 3
0.09, 0.00175184, 0.00813505, 0.278813, 0.00813505, 0.0467056, 0.102768, 3
0.095, 0.0017642, 0.00819466, 0.280781, 0.00819466, 0.0519315, 0.139925, 3
0.1, 0.00177633, 0.00825171, 0.282711, 0.00825171, 0.0520245, 0.103958, 3
0.105, 0.00178823, 0.00830783, 0.284606, 0.00830783, 0.0478498, 0.104245, 3
0.11, 0.00179993, 0.00836454, 0.286467, 0.00836454, 0.0470628, 0.0999888, 3
0.115, 0.00181143, 0.00841719, 0.288298, 0.00841719, 0.0490158, 0.104165, 3
0.12, 0.00182275, 0.00847052, 0.2901, 0.00847052, 0.0463342, 0.10208, 3
0.125, 0.0018339, 0.00851944, 0.291874, 0.00851944, 0.0483581, 0.10286, 3
0.13, 0.00184488, 0.00857152, 0.293622, 0.00857152, 0.0490627, 0.0974102, 3
0.135, 0.00185572, 0.0086216, 0.295346, 0.0086216, 0.049298, 0.115574, 3
0.14, 0.0018664, 0.00867432, 0.297046, 0.00867432, 0.056875, 0.108618, 3
0.145, 0.00187694, 0.00872321, 0.298725, 0.00872321, 0.0471629, 0.0972679, 3
0.15, 0.00188736, 0.00877279, 0.300382, 0.00877279, 0.0448719, 0.0947494, 3
0.155, 0.00189765, 0.00882204, 0.30202, 0.00882204, 0.0502733, 0.101848, 3
0.16, 0.00190783, 0.00886952, 0.30364, 0.00886952, 0.0526013, 0.111188, 3
0.165, 0.00191789, 0.00891648, 0.305241, 0.00891648, 0.0509343, 0.106361, 3
0.17, 0.00192784, 0.0089629, 0.306825, 0.0089629, 0.0461749, 0.0870824, 3
0.175, 0.00193769, 0.00900875, 0.308392, 0.00900875, 0.0451246, 0.0825996, 3
0.18, 0.00194743, 0.00905538, 0.309943, 0.00905538, 0.0457547, 0.0856423, 3
0.185, 0.00195708, 0.00910082, 0.311479, 0.00910082, 0.0454141, 0.102091, 3
0.19, 0.00196664, 0.00914388, 0.313001, 0.00914388, 0.051418, 0.122094, 3
0.195, 0.00197611, 0.00918833, 0.314508, 0.00918833, 0.0532882, 0.116401, 3
0.2, 0.00198549, 0.00923134, 0.316001, 0.00923134, 0.0452155, 0.0916027, 3
0.205, 0.00199479, 0.00927527, 0.317481, 0.00927527, 0.0459002, 0.0863473, 3
0.21, 0.00200402, 0.00931766, 0.318949, 0.00931766, 0.0529274, 0.109758, 3
0.215, 0.00201316, 0.00936022, 0.320404, 0.00936022, 0.0462603, 0.0862887, 3
0.22, 0.00202223, 0.00940237, 0.321847, 0.00940237, 0.0451985, 0.0882801, 3
0.225, 0.00203122, 0.00944416, 0.323279, 0.00944416, 0.0498711, 0.1011, 3
0.23, 0.00204015, 0.00948557, 0.3247, 0.00948557, 0.0469832, 0.0893129, 3
0.235, 0.002049, 0.00952827, 0.326109, 0.00952827, 0.0733439, 0.168963, 3
0.24, 0.00205779, 0.00956996, 0.327508, 0.00956996, 0.0478309, 0.0797857, 3
0.245, 0.00206652, 0.0096103, 0.328897, 0.0096103, 0.0490649, 0.136758, 3
0.25, 0.00207518, 0.00965042, 0.330276, 0.00965042, 0.0597243, 0.10706, 3
0.255, 0.00208379, 0.00969033, 0.331645, 0.00969033, 0.0468898, 0.0961348, 3
0.26, 0.00209233, 0.00972772, 0.333005, 0.00972772, 0.0478037, 0.087848, 3
0.265, 0.00210082, 0.0097672, 0.334355, 0.0097672, 0.0513252, 0.0881757, 3
0.27, 0.00210924, 0.00980754, 0.335696, 0.00980754, 0.0499362, 0.0876851, 3
0.275, 0.00211762, 0.00984426, 0.33703, 0.00984426, 0.0472236, 0.0876826, 3
0.28, 0.00212594, 0.0098849, 0.338353, 0.0098849, 0.0474028, 0.0899128, 3
0.285, 0.00213421, 0.00992122, 0.33967, 0.00992122, 0.0507749, 0.094559, 3
0.29, 0.00214242, 0.00996133, 0.340977, 0.00996133, 0.0474456, 0.0899097, 3
0.295, 0.00215059, 0.00999712, 0.342278, 0.00999712, 0.0493644, 0.085819, 3
0.3, 0.00215871, 0.0100367, 0.343569, 0.0100367, 0.0487053, 0.0880934, 3
0.305, 0.00216678, 0.0100721, 0.344854, 0.0100721, 0.0469297, 0.0858963, 3
0.31, 0.00217481, 0.0101113, 0.346131, 0.0101113, 0.0478957, 0.0895412, 3
0.315, 0.00218279, 0.0101472, 0.347401, 0.0101472, 0.0529075, 0.0846965, 3
0.32, 0.00219072, 0.0101858, 0.348664, 0.0101858, 0.0543827, 0.101333, 3
0.325, 0.00219861, 0.0102241, 0.349919, 0.0102241, 0.0492573, 0.0884691, 3
0.33, 0.00220645, 0.01026, 0.351168, 0.01026, 0.0553685, 0.102221, 3
0.335, 0.00221426, 0.0102958, 0.35241, 0.0102958, 0.0487714, 0.0820075, 3
0.34, 0.00222202, 0.0103318, 0.353646, 0.0103318, 0.0468408, 0.107709, 3
0.345, 0.00222975, 0.0103675, 0.354875, 0.0103675, 0.0524396, 0.0927032, 3
0.35, 0.00223743, 0.0104028, 0.356098, 0.0104028, 0.04906, 0.0913761, 3
0.355, 0.00224507, 0.010438, 0.357314, 0.010438, 0.0492901, 0.0851725, 3
0.36, 0.00225268, 0.01047, 0.358525, 0.01047, 0.0478173, 0.0830843, 3
0.365, 0.00226025, 0.0105051, 0.35973, 0.0105051, 0.0492398, 0.0840606, 3
0.37, 0.00226778, 0.0105402, 0.360928, 0.0105402, 0.0540448, 0.0965778, 3
0.375, 0.00227527, 0.0105746, 0.362121, 0.0105746, 0.053451, 0.0837517, 3
0.38, 0.00228273, 0.0106088, 0.363308, 0.0106088, 0.0485272, 0.082766, 3
0.385, 0.00229015, 0.010643, 0.364489, 0.010643, 0.0512416, 0.0982316, 3
0.39, 0.00229754, 0.010677, 0.365665, 0.010677, 0.0540609, 0.119582, 3
0.395, 0.0023049, 0.0107109, 0.366835, 0.0107109, 0.0504431, 0.0855097, 3
0.4, 0.00231222, 0.0107445, 0.368, 0.0107445, 0.0578996, 0.101275, 3
0.405, 0.0023195, 0.010778, 0.36916, 0.010778, 0.0573324, 0.101514, 3
0.41, 0.00232676, 0.0108114, 0.370315, 0.0108114, 0.0518801, 0.118311, 3
0.415, 0.00233398, 0.0108446, 0.371464, 0.0108446, 0.0625846, 0.131318, 3
