Iteration, Drag, Lift, Coeff Drag, CoeffLift, time prec, time solve
0, 0.00142005, 0.00685913, 0.226009, 0.00685913, 0.0623374, 0.139717, 6
0.005, 0.0014501, 0.00651324, 0.23079, 0.00651324, 0.0460416, 0.129127, 4
0.01, 0.00148279, 0.00684988, 0.235994, 0.00684988, 0.0484255, 0.1657, 4
0.015, 0.00150869, 0.006988, 0.240115, 0.006988, 0.0536645, 0.130555, 4
0.02, 0.0015319, 0.00710259, 0.24381, 0.00710259, 0.0471445, 0.118083, 3
0.025, 0.00155296, 0.0071935, 0.247161, 0.0071935, 0.041133, 0.0958524, 3
0.03, 0.00157258, 0.00728896, 0.250284, 0.00728896, 0.0489065, 0.0927653, 3
0.035, 0.001591, 0.00737577, 0.253216, 0.00737577, 0.0453458, 0.0881663, 3
0.04, 0.00160845, 0.00745806, 0.255993, 0.00745806, 0.0474956, 0.0875021, 3
0.045, 0.00162508, 0.00753642, 0.258639, 0.00753642, 0.0474471, 0.107941, 3
0.05, 0.00164101, 0.00761159, 0.261175, 0.00761159, 0.0555052, 0.115025, 3
0.055, 0.00165635, 0.00768376, 0.263616, 0.00768376, 0.0456375, 0.0915273, 3
0.06, 0.00167115, 0.00775483, 0.265972, 0.00775483, 0.0579752, 0.0880307, 3
0.065, 0.0016855, 0.00782091, 0.268255, 0.00782091, 0.0518295, 0.0858139, 3
0.07, 0.00169943, 0.00788641, 0.270472, 0.00788641, 0.0498195, 0.0975367, 3
0.075, 0.00171298, 0.00794706, 0.27263, 0.00794706, 0.0462351, 0.096911, 3
0.08, 0.0017262, 0.00801156, 0.274734, 0.00801156, 0.0488447, 0.0958248, 3
0.085, 0.00173911, 0.00807243, 0.276789, 0.00807243, 0.0465218, 0.112938, 3
0.09, 0.00175174, 0.00813183, 0.278798, 0.00813183, 0.050288, 0.0860077, 3
0.095, 0.00176411, 0.00819165, 0.280767, 0.00819165, 0.0460059, 0.0873566, 3
0.1, 0.00177624, 0.00824699, 0.282697, 0.00824699, 0.0457533, 0.10788, 3
0.105, 0.00178815, 0.00830324, 0.284592, 0.00830324, 0.0468257, 0.10614, 3
0.11, 0.00179984, 0.00835938, 0.286454, 0.00835938, 0.0503079, 0.100977, 3
0.115, 0.00181135, 0.00841188, 0.288285, 0.00841188, 0.0445881, 0.096527, 3
0.12, 0.00182267, 0.00846472, 0.290086, 0.00846472, 0.0489841, 0.0934338, 3
0.125, 0.00183381, 0.00851332, 0.291861, 0.00851332, 0.0465755, 0.124926, 3
0.13, 0.0018448, 0.00856739, 0.293609, 0.00856739, 0.049905, 0.105471, 3
0.135, 0.00185563, 0.00861832, 0.295333, 0.00861832, 0.0491005, 0.146043, 3
0.14, 0.00186632, 0.00867081, 0.297033, 0.00867081, 0.0488883, 0.0938032, 3
0.145, 0.00187687, 0.00871815, 0.298713, 0.00871815, 0.0517958, 0.108483, 3
0.15, 0.00188729, 0.00876683, 0.300371, 0.00876683, 0.050651, 0.125247, 3
0.155, 0.00189758, 0.00881479, 0.302009, 0.00881479, 0.0489442, 0.0914665, 3
0.16, 0.00190776, 0.00886233, 0.303629, 0.00886233, 0.0557938, 0.100093, 3
0.165, 0.00191782, 0.00890927, 0.30523, 0.00890927, 0.0524443, 0.118307, 3
0.17, 0.00192777, 0.00895563, 0.306814, 0.00895563, 0.050228, 0.0875364, 3
0.175, 0.00193762, 0.00900276, 0.308381, 0.00900276, 0.0510508, 0.12977, 3
0.18, 0.00194737, 0.00904713, 0.309933, 0.00904713, 0.0533955, 0.12834, 3
0.185, 0.00195702, 0.00909224, 0.311469, 0.00909224, 0.054356, 0.180287, 3
0.19, 0.00196658, 0.00913667, 0.312991, 0.00913667, 0.0501818, 0.115521, 3
0.195, 0.00197605, 0.00917952, 0.314498, 0.00917952, 0.0481267, 0.0949202, 3
0.2, 0.00198543, 0.00922468, 0.315991, 0.00922468, 0.0498498, 0.151114, 3
0.205, 0.00199473, 0.00926719, 0.317472, 0.00926719, 0.0567423, 0.100653, 3
0.21, 0.00200395, 0.00931086, 0.318939, 0.00931086, 0.0524675, 0.0845225, 3
0.215, 0.0020131, 0.00935299, 0.320395, 0.00935299, 0.0484579, 0.0827357, 3
0.22, 0.00202217, 0.00939517, 0.321838, 0.00939517, 0.0470556, 0.0841259, 3
0.225, 0.00203116, 0.00943701, 0.32327, 0.00943701, 0.0444468, 0.084608, 3
0.23, 0.00204009, 0.00947845, 0.32469, 0.00947845, 0.0465713, 0.0877035, 3
0.235, 0.00204894, 0.00952124, 0.3261, 0.00952124, 0.0467173, 0.0827725, 3
0.24, 0.00205774, 0.00956072, 0.327499, 0.00956072, 0.0457185, 0.0820476, 3
0.245, 0.00206646, 0.00960156, 0.328888, 0.00960156, 0.0474669, 0.0835103, 3
0.25, 0.00207513, 0.00964161, 0.330267, 0.00964161, 0.0476642, 0.0843847, 3
0.255, 0.00208373, 0.00968159, 0.331636, 0.00968159, 0.0492896, 0.0833063, 3
0.26, 0.00209228, 0.00971891, 0.332996, 0.00971891, 0.0491507, 0.0844089, 3
0.265, 0.00210076, 0.00976149, 0.334346, 0.00976149, 0.0482653, 0.0847451, 3
0.27, 0.00210919, 0.00980053, 0.335688, 0.00980053, 0.0475825, 0.083912, 3
0.275, 0.00211757, 0.00983622, 0.337021, 0.00983622, 0.0485569, 0.0801786, 3
0.28, 0.00212588, 0.00987809, 0.338345, 0.00987809, 0.0451683, 0.08195, 3
0.285, 0.00213416, 0.00991363, 0.339662, 0.00991363, 0.0484488, 0.0810552, 3
0.29, 0.00214237, 0.00995479, 0.340969, 0.00995479, 0.0468464, 0.0820656, 3
0.295, 0.00215054, 0.00999216, 0.34227, 0.00999216, 0.0469366, 0.0824153, 3
0.3, 0.00215866, 0.0100278, 0.343562, 0.0100278, 0.0489264, 0.0825563, 3
0.305, 0.00216673, 0.010066, 0.344846, 0.010066, 0.0663598, 0.0837278, 3
0.31, 0.00217476, 0.0101033, 0.346123, 0.0101033, 0.0503241, 0.0839861, 3
0.315, 0.00218274, 0.01014, 0.347393, 0.01014, 0.050853, 0.0817271, 3
0.32, 0.00219067, 0.0101769, 0.348656, 0.0101769, 0.0478271, 0.0816791, 3
0.325, 0.00219856, 0.0102155, 0.349912, 0.0102155, 0.0565258, 0.0973917, 3
0.33, 0.00220641, 0.0102502, 0.351161, 0.0102502, 0.0518956, 0.0947158, 3
0.335, 0.00221421, 0.0102864, 0.352403, 0.0102864, 0.0499375, 0.0841249, 3
0.34, 0.00222198, 0.0103223, 0.353639, 0.0103223, 0.0516525, 0.089038, 3
0.345, 0.0022297, 0.0103578, 0.354868, 0.0103578, 0.0657954, 0.0969027, 3
0.35, 0.00223738, 0.0103935, 0.356091, 0.0103935, 0.0503817, 0.142612, 3
0.355, 0.00224503, 0.0104286, 0.357307, 0.0104286, 0.0516955, 0.116072, 3
0.36, 0.00225264, 0.0104609, 0.358519, 0.0104609, 0.0507959, 0.166096, 3
0.365, 0.0022602, 0.0105018, 0.359721, 0.0105018, 0.0535594, 0.111205, 3
0.37, 0.00226774, 0.0105327, 0.360921, 0.0105327, 0.0499541, 0.0888861, 3
0.375, 0.00227523, 0.010566, 0.362115, 0.010566, 0.0756385, 0.155508, 3
0.38, 0.00228268, 0.0106049, 0.3633, 0.0106049, 0.0542247, 0.139616, 3
0.385, 0.00229012, 0.0106337, 0.364484, 0.0106337, 0.0514748, 0.0987843, 3
0.39, 0.0022975, 0.0106709, 0.365658, 0.0106709, 0.0470594, 0.08307, 3
0.395, 0.00230485, 0.0107068, 0.366828, 0.0107068, 0.0483957, 0.0879368, 3
0.4, 0.00231218, 0.0107358, 0.367995, 0.0107358, 0.0498252, 0.0805997, 3
0.405, 0.00231946, 0.0107718, 0.369154, 0.0107718, 0.0486539, 0.106972, 3
0.41, 0.00232672, 0.0108049, 0.370309, 0.0108049, 0.053598, 0.0900284, 3
0.415, 0.00233394, 0.0108387, 0.371458, 0.0108387, 0.0616734, 0.0984679, 3
0.42, 0.00234113, 0.0108712, 0.372603, 0.0108712, 0.0549678, 0.095827, 3
0.425, 0.00234829, 0.0109049, 0.373742, 0.0109049, 0.0490751, 0.0799162, 3
0.43, 0.00235541, 0.0109396, 0.374874, 0.0109396, 0.0528591, 0.10105, 3
0.435, 0.00236253, 0.010968, 0.376008, 0.010968, 0.0512568, 0.108921, 3
0.44, 0.00236959, 0.0110026, 0.377131, 0.0110026, 0.0519594, 0.0799612, 3
0.445, 0.00237662, 0.0110349, 0.378251, 0.0110349, 0.0497034, 0.103871, 3
0.45, 0.00238363, 0.0110673, 0.379367, 0.0110673, 0.0502652, 0.0846419, 3
0.455, 0.00239061, 0.0110992, 0.380478, 0.0110992, 0.0526763, 0.0808274, 3
0.46, 0.00239756, 0.0111312, 0.381584, 0.0111312, 0.0560248, 0.0818946, 3
0.465, 0.00240449, 0.0111632, 0.382686, 0.0111632, 0.0526123, 0.0856179, 3
0.47, 0.00241138, 0.0111949, 0.383783, 0.0111949, 0.0498447, 0.083158, 3
0.475, 0.00241823, 0.0112289, 0.384873, 0.0112289, 0.0637133, 0.0838675, 3
0.48, 0.0024251, 0.0112554, 0.385967, 0.0112554, 0.0527823, 0.0860439, 3
0.485, 0.0024319, 0.0112897, 0.387049, 0.0112897, 0.0513334, 0.087603, 3
0.49, 0.00243867, 0.0113222, 0.388127, 0.0113222, 0.0488949, 0.0889645, 3
0.495, 0.00244546, 0.0113497, 0.389208, 0.0113497, 0.0497622, 0.0862295, 3
0.5, 0.00245217, 0.0113846, 0.390274, 0.0113846, 0.0479159, 0.0800704, 3
0.505, 0.00245891, 0.0114108, 0.391348, 0.0114108, 0.0588391, 0.0903875, 3
0.51, 0.00246558, 0.0114441, 0.392409, 0.0114441, 0.0479649, 0.0831448, 3
0.515, 0.00247222, 0.0114763, 0.393465, 0.0114763, 0.0482679, 0.0830963, 3
0.52, 0.00247888, 0.0115029, 0.394527, 0.0115029, 0.0495939, 0.0818012, 3
0.525, 0.00248546, 0.0115375, 0.395573, 0.0115375, 0.0535496, 0.087769, 3
0.53, 0.00249206, 0.011565, 0.396623, 0.011565, 0.0532301, 0.0879846, 3
0.535, 0.00249862, 0.011596, 0.397667, 0.011596, 0.0527993, 0.0918379, 3
0.54, 0.00250515, 0.0116253, 0.398708, 0.0116253, 0.0515507, 0.0834943, 3
0.545, 0.00251166, 0.0116557, 0.399744, 0.0116557, 0.0527562, 0.107785, 3
0.55, 0.00251815, 0.0116851, 0.400776, 0.0116851, 0.0508931, 0.0990604, 3
0.555, 0.00252462, 0.0117149, 0.401805, 0.0117149, 0.0519777, 0.0887334, 3
0.56, 0.00253106, 0.0117442, 0.402831, 0.0117442, 0.057533, 0.103643, 3
0.565, 0.00253748, 0.0117739, 0.403852, 0.0117739, 0.0501796, 0.112725, 3
0.57, 0.00254387, 0.011803, 0.40487, 0.011803, 0.0488919, 0.0850378, 3
0.575, 0.00255025, 0.0118323, 0.405884, 0.0118323, 0.0809623, 0.0935681, 3
0.58, 0.0025566, 0.0118613, 0.406895, 0.0118613, 0.0633802, 0.131688, 3
0.585, 0.00256293, 0.0118904, 0.407902, 0.0118904, 0.0473294, 0.157436, 3
0.59, 0.00256923, 0.0119191, 0.408906, 0.0119191, 0.0463971, 0.148978, 3
0.595, 0.00257552, 0.0119481, 0.409906, 0.0119481, 0.0502457, 0.118318, 3
0.6, 0.00258178, 0.0119766, 0.410903, 0.0119766, 0.0537316, 0.0912489, 3
0.605, 0.00258825, 0.0120185, 0.411933, 0.0120185, 0.0716057, 0.152891, 5
0.61, 0.00259408, 0.0120179, 0.412861, 0.0120179, 0.060817, 0.132529, 4
0.615, 0.00260048, 0.012054, 0.41388, 0.012054, 0.0533745, 0.0811629, 3
0.62, 0.00260646, 0.0120826, 0.41483, 0.0120826, 0.0533864, 0.108557, 5
0.625, 0.00261324, 0.0121322, 0.41591, 0.0121322, 0.0519179, 0.0848782, 3
0.63, 0.00261887, 0.0121373, 0.416806, 0.0121373, 0.0539171, 0.0955027, 4
0.635, 0.00262505, 0.0121718, 0.41779, 0.0121718, 0.0669287, 0.126626, 6
0.64, 0.00263133, 0.0121997, 0.418789, 0.0121997, 0.0520128, 0.0943075, 5
0.645, 0.002637, 0.0122487, 0.419692, 0.0122487, 0.0533179, 0.0846219, 4
0.65, 0.00264328, 0.0122526, 0.420692, 0.0122526, 0.0550564, 0.11028, 5
0.655, 0.00264934, 0.0122863, 0.421655, 0.0122863, 0.0516336, 0.0845337, 4
0.66, 0.00265548, 0.0123172, 0.422632, 0.0123172, 0.0708814, 0.117606, 6
0.665, 0.00266094, 0.0123355, 0.423502, 0.0123355, 0.0543521, 0.120091, 5
0.67, 0.00266762, 0.0123711, 0.424565, 0.0123711, 0.0517697, 0.0856403, 3
0.675, 0.00267322, 0.0123948, 0.425457, 0.0123948, 0.0495484, 0.0824556, 4
0.68, 0.0026792, 0.0124201, 0.426408, 0.0124201, 0.0537591, 0.0666451, 3
0.685, 0.00268509, 0.0124405, 0.427346, 0.0124405, 0.0518899, 0.125979, 6
0.69, 0.002691, 0.0124864, 0.428286, 0.0124864, 0.0558813, 0.0637503, 3
0.695, 0.00269688, 0.0124984, 0.429222, 0.0124984, 0.0500891, 0.0842195, 3
0.7, 0.00270276, 0.0125233, 0.430157, 0.0125233, 0.0509716, 0.0923084, 5
0.705, 0.0027085, 0.0125629, 0.431072, 0.0125629, 0.0486906, 0.107673, 5
0.71, 0.00271444, 0.0125642, 0.432017, 0.0125642, 0.0485256, 0.0946971, 5
0.715, 0.00272039, 0.0126225, 0.432964, 0.0126225, 0.0483154, 0.117925, 6
0.72, 0.00272593, 0.0126345, 0.433845, 0.0126345, 0.0519606, 0.112656, 5
0.725, 0.00273179, 0.0126616, 0.434778, 0.0126616, 0.0502722, 0.129256, 6
