N,T_PREC,T_SOLV,DRAG_C,LIFT_C
1,1049,26657,-11.7983,0.00317283
2,941,143745,-1.57605,-0.00982711
3,1006,79127,-1.2998,0.0302774
4,963,87256,-1.02993,0.0440349
5,956,84084,-0.888157,0.0215381
6,951,85473,-0.838226,0.019828
7,952,83015,-0.791968,0.015384
8,948,84661,-0.754184,0.0109601
9,947,81271,-0.722931,0.0078482
10,954,84925,-0.697782,0.00555954
11,957,84050,-0.677654,0.00405396
12,950,76940,-0.661407,0.003179
13,1050,75492,-0.648079,0.00271809
14,967,70952,-0.636939,0.00247757
15,989,72871,-0.627491,0.00232902
16,945,65764,-0.61939,0.00220609
17,960,63948,-0.612403,0.00208286
18,935,66303,-0.606336,0.00195242
19,943,68540,-0.601051,0.00181301
20,928,66868,-0.596431,0.00166484
