,T_PREC,T_SOLV,DRAG_C,LIFT_C
1,989,26620,-11.7983,0.00317283
2,950,144204,-1.57605,-0.00982711
3,1017,79222,-1.2998,0.0302774
4,979,87563,-1.02993,0.0440349
5,959,84257,-0.888157,0.0215381
6,944,85569,-0.838226,0.019828
7,981,83108,-0.791968,0.015384
8,995,84796,-0.754184,0.0109601
9,956,81344,-0.722931,0.0078482
10,929,84880,-0.697782,0.00555954
11,988,84736,-0.677654,0.00405396
12,949,77320,-0.661407,0.003179
13,969,75548,-0.648079,0.00271809
14,938,71323,-0.636939,0.00247757
15,945,72769,-0.627491,0.00232902
16,948,65774,-0.61939,0.00220609
17,945,64427,-0.612403,0.00208286
18,970,66381,-0.606336,0.00195242
19,954,68308,-0.601051,0.00181301
20,937,67135,-0.596431,0.00166484
21,982,67221,-0.592374,0.00150742
22,980,66337,-0.588804,0.00134011
23,927,61735,-0.585648,0.0011628
24,949,62554,-0.582853,0.000975744
25,950,55824,-0.580369,0.000778933
26,1016,56699,-0.578157,0.000573699
27,945,54473,-0.576181,0.00036049
28,1031,57751,-0.574413,0.000140317
29,955,56107,-0.572828,-8.60434e-05
30,948,53417,-0.571401,-0.000317466
31,988,53998,-0.570116,-0.000552598
32,971,53377,-0.568957,-0.000791595
33,945,52136,-0.567908,-0.00103256
34,963,50735,-0.566957,-0.00127554
35,1020,49377,-0.566095,-0.00151969
36,925,48253,-0.56531,-0.00176366
37,967,47908,-0.564596,-0.00200833
38,977,46780,-0.563944,-0.00225186
39,942,45991,-0.563348,-0.00249494
40,1000,44978,-0.562803,-0.00273592
41,1021,44043,-0.562304,-0.0029761742,931,43602,-0.561847,-0.00321361
43,950,42620,-0.561425,-0.00344956
44,963,42017,-0.561037,-0.00368265
45,947,40632,-0.560681,-0.00391356
46,962,39734,-0.560352,-0.00414156
47,960,38904,-0.560048,-0.00436678
48,947,38375,-0.559767,-0.00458942
449,963,37268,-0.559507,-0.00480839
